N,P,K,temperature,humidity,ph,rainfall,label,soil_type
69.2,30.5,46.3,31.36,55.75,4.59,941.5,tomato,alluvial soil
81.6,37.6,52.8,30.04,71.29,7.06,848.8,chilli,red soil
39.7,37.9,26.4,33.64,45.23,6.82,821.5,pigeonpeas,black soil
105.9,58.1,71.2,21.37,77.25,6.45,695.5,tomato,red soil
74.9,47.3,54.8,28.15,66.66,7.7,615.8,cotton,red soil
57.6,34.2,39.7,22.87,69.19,6.14,968.4,ragi,red soil
120.6,2.1,87.3,19.04,33.43,6.77,2100.3,lentil,red soil
75.0,40.8,63.5,25.58,62.99,6.88,793.4,maize,black soil
82.4,47.6,63.8,27.93,72.37,6.22,612.1,maize,red soil
108.8,66.7,69.3,28.21,42.54,7.04,565.0,pomegranate,black soil
108.7,45.8,59.2,22.99,66.55,6.85,604.6,tomato,red soil
45.6,44.5,48.0,26.15,66.38,7.47,630.1,ragi,red soil
55.5,37.7,34.2,23.18,48.6,7.03,623.6,safflower,red soil
43.2,31.4,40.4,23.89,41.01,6.5,450.0,safflower,red soil
26.0,31.7,29.5,23.26,51.64,6.91,712.5,pigeonpeas,red soil
48.4,35.5,49.8,21.62,57.53,5.7,852.4,ragi,red soil
120.6,50.7,88.4,32.52,76.82,6.53,1996.6,sugarcane,black soil
61.4,39.5,41.5,23.81,60.24,6.43,571.3,wheat,black soil
101.9,55.1,88.2,28.26,50.86,6.57,808.3,grapes,red soil
18.9,33.1,25.0,20.44,63.98,6.44,495.6,lentil,black soil
122.1,68.7,71.6,34.21,69.6,6.91,1430.4,sugarcane,alluvial soil
67.1,37.5,36.3,25.19,58.98,6.87,645.0,sunflower,red soil
27.6,38.7,29.5,34.61,46.82,6.52,756.7,pigeonpeas,red soil
50.5,25.7,44.2,31.32,52.82,8.06,627.5,jowar,red soil
123.6,49.2,81.3,32.46,52.1,8.18,1433.1,soybean,alluvial soil
53.7,40.9,45.5,22.06,58.41,7.1,664.8,sunflower,red soil
87.2,35.3,49.0,30.85,63.87,6.72,939.4,cotton,red soil
86.5,52.8,54.4,23.9,71.85,7.1,966.7,onion,red soil
32.4,14.4,91.1,17.41,29.48,4.51,1580.7,chickpea,alluvial soil
30.5,43.3,31.5,31.75,60.0,6.62,800.3,groundnut,red soil
45.1,31.0,39.8,21.54,53.92,6.65,597.8,safflower,black soil
46.2,28.3,26.9,32.42,46.48,7.07,580.5,bajra,red soil
101.9,58.0,59.1,23.95,68.7,6.37,973.3,tomato,red soil
87.2,56.7,55.8,12.64,37.67,4.74,2374.7,soybean,red soil
35.3,32.2,38.5,27.94,42.45,6.9,549.4,bajra,red soil
26.5,32.5,32.3,26.91,53.38,7.56,818.0,pigeonpeas,red soil
49.2,35.4,39.1,26.3,65.34,6.26,656.7,ragi,red soil
38.0,21.3,39.3,29.3,44.22,6.26,470.8,bajra,alluvial soil
66.2,52.6,45.9,27.74,67.52,6.92,871.1,cotton,red soil
64.3,6.3,43.5,37.32,25.64,9.35,1701.6,onion,alluvial soil
102.0,62.1,68.2,22.68,74.55,6.42,675.6,tomato,alluvial soil
17.3,29.6,26.9,25.12,52.13,6.79,588.9,greengram,black soil
38.9,15.5,31.5,21.19,75.16,7.29,531.4,pigeonpeas,laterite soil
16.0,23.0,18.2,28.59,52.05,7.26,610.5,blackgram,red soil
43.8,23.8,36.1,33.02,50.9,6.58,468.5,bajra,red soil
125.6,62.5,77.2,26.7,61.68,7.27,1477.1,sugarcane,alluvial soil
48.2,21.8,35.4,30.0,50.17,6.47,539.7,bajra,alluvial soil
26.7,44.7,35.8,23.48,68.31,7.38,676.3,pigeonpeas,black soil
22.8,31.1,35.4,30.9,61.22,6.96,605.5,groundnut,red soil
22.3,30.3,23.8,20.28,54.65,7.15,492.8,lentil,black soil
104.7,63.7,69.3,26.71,77.23,6.94,1665.6,sugarcane,black soil
85.7,45.4,59.5,25.79,59.91,6.46,945.6,cotton,red soil
138.1,11.7,51.6,36.35,59.86,5.58,2380.4,pomegranate,black soil
101.8,62.3,76.4,28.94,57.84,6.51,762.9,grapes,red soil
96.1,71.6,87.6,41.06,81.08,8.86,1323.8,jowar,black soil
26.9,31.7,29.1,31.26,52.31,7.32,798.4,blackgram,red soil
3.2,11.7,42.9,18.8,63.98,5.91,373.2,jowar,red soil
98.0,74.4,21.9,42.68,54.11,5.18,1962.6,greengram,black soil
91.2,61.1,20.6,17.78,35.94,4.57,1642.0,groundnut,laterite soil
29.9,30.1,99.3,40.97,92.27,9.37,2414.8,wheat,black soil
95.4,47.0,59.8,29.41,72.4,7.34,805.3,chilli,red soil
37.3,33.2,40.3,30.82,63.62,6.88,882.4,groundnut,alluvial soil
24.7,22.7,19.7,33.16,55.8,7.16,714.5,blackgram,black soil
80.5,43.0,56.5,38.63,69.68,8.5,1571.9,pigeonpeas,laterite soil
61.5,48.1,52.0,16.99,53.78,6.06,538.9,wheat,alluvial soil
64.6,48.4,40.5,17.51,62.94,7.36,597.6,wheat,black soil
20.9,29.9,26.8,30.74,58.35,6.87,679.7,blackgram,black soil
28.8,31.6,25.2,31.08,66.24,7.49,512.5,greengram,alluvial soil
19.6,74.4,17.3,42.88,55.59,8.46,1899.0,sugarcane,laterite soil
19.6,29.0,15.9,27.35,54.46,7.18,743.4,blackgram,black soil
104.6,71.5,94.5,42.38,84.92,8.94,2394.5,jowar,black soil
121.5,53.4,70.2,32.72,70.84,6.52,1455.3,sugarcane,alluvial soil
9.2,75.7,0.5,38.92,80.95,7.5,2147.2,lentil,red soil
84.2,48.6,65.0,27.15,71.66,6.61,817.6,chilli,red soil
29.4,49.2,98.3,14.59,46.77,6.81,1938.4,tomato,red soil
23.6,27.6,24.8,21.04,41.35,6.8,518.0,chickpea,black soil
28.4,37.5,29.8,29.35,64.03,6.7,802.8,pigeonpeas,black soil
93.7,49.3,56.2,24.31,64.21,6.16,693.8,onion,alluvial soil
41.9,41.2,41.2,29.68,58.08,6.78,987.3,ragi,laterite soil
30.1,33.3,36.7,25.06,51.95,6.66,869.2,pigeonpeas,red soil
20.6,33.0,10.2,43.64,62.15,8.65,988.3,blackgram,alluvial soil
34.3,34.7,44.3,25.99,74.65,6.28,954.4,soybean,alluvial soil
24.8,22.2,61.9,28.31,40.59,8.87,549.6,wheat,black soil
83.2,46.2,58.2,23.59,62.97,5.63,634.5,maize,black soil
41.8,62.9,35.8,25.42,58.99,4.9,494.4,pigeonpeas,red soil
38.5,34.5,30.6,29.87,67.3,7.38,788.8,pigeonpeas,red soil
113.9,47.8,82.7,20.07,75.58,9.09,2492.3,chilli,black soil
76.1,40.6,49.1,27.12,66.65,6.38,891.9,chilli,black soil
68.0,51.9,55.2,30.3,69.37,6.84,554.0,cotton,red soil
108.4,57.2,61.2,22.65,70.74,6.63,678.3,tomato,red soil
19.5,34.6,24.3,29.44,53.78,6.58,626.8,greengram,black soil
56.9,43.6,42.6,28.89,56.54,6.78,899.2,ragi,laterite soil
41.6,33.9,35.4,15.29,41.62,7.24,485.9,safflower,red soil
114.5,64.6,59.2,27.48,71.4,6.6,841.4,tomato,red soil
57.3,1.9,69.1,22.49,24.48,8.53,1236.5,blackgram,black soil
69.6,64.8,44.4,20.29,73.91,9.34,242.9,chickpea,black soil
36.5,27.0,42.6,28.17,53.97,6.8,621.8,groundnut,alluvial soil
112.3,62.3,76.5,29.02,67.66,7.02,793.7,grapes,red soil
60.4,41.2,41.3,29.45,66.08,6.89,982.3,ragi,red soil
54.9,30.7,31.0,31.79,59.08,8.06,486.1,jowar,red soil
21.9,26.9,21.6,26.79,60.55,7.3,489.2,lentil,black soil
31.5,33.2,34.1,25.16,47.52,7.84,402.7,chickpea,black soil
51.7,33.2,47.0,26.56,58.85,6.66,809.3,ragi,red soil
2.3,20.9,53.1,15.66,90.86,6.28,1246.9,cotton,black soil
110.7,59.0,73.0,27.91,70.74,6.88,1586.8,sugarcane,alluvial soil
40.3,39.6,30.7,21.2,38.87,6.67,415.0,safflower,red soil
69.9,44.3,53.8,33.75,58.87,7.18,771.7,cotton,black soil
24.4,33.9,23.4,28.1,48.82,7.8,424.0,chickpea,black soil
105.1,56.1,70.9,31.28,40.41,7.39,676.0,pomegranate,red soil
113.1,55.1,65.3,24.66,62.13,7.96,511.5,wheat,black soil
18.5,27.8,27.7,24.87,51.99,7.02,578.5,lentil,black soil
63.0,32.8,41.1,23.3,65.27,6.04,935.8,ragi,red soil
26.9,33.7,36.6,22.98,63.6,7.27,679.0,pigeonpeas,red soil
137.4,54.5,75.1,26.5,69.35,6.59,1376.8,sugarcane,black soil
130.2,10.4,61.2,38.05,28.94,6.45,1774.1,maize,red soil
103.2,53.3,59.9,23.94,67.33,6.04,735.3,onion,black soil
36.1,43.0,27.0,26.2,56.51,6.53,790.9,pigeonpeas,black soil
27.9,39.6,44.3,25.45,60.23,6.4,796.4,groundnut,red soil
77.1,40.5,48.8,29.56,65.63,6.97,557.3,cotton,red soil
1.1,34.1,2.4,21.24,74.94,7.03,2242.4,sugarcane,laterite soil
20.3,27.2,64.9,42.97,70.0,6.96,637.8,sunflower,laterite soil
40.6,45.3,37.3,28.53,70.55,6.13,600.3,soybean,black soil
36.4,27.2,27.5,30.1,59.76,6.98,441.5,bajra,red soil
17.0,29.3,29.2,18.09,53.91,7.4,445.3,lentil,alluvial soil
65.0,38.8,41.3,18.71,57.03,6.11,540.1,wheat,alluvial soil
26.9,38.2,34.4,27.18,69.2,6.42,681.0,groundnut,alluvial soil
131.9,26.6,3.8,31.37,37.12,6.05,1026.0,groundnut,black soil
23.9,30.6,21.2,18.08,62.86,6.87,564.6,lentil,alluvial soil
78.9,42.9,56.1,34.27,56.52,7.59,647.9,cotton,black soil
25.9,37.5,26.0,34.24,67.41,7.14,726.7,pigeonpeas,red soil
86.0,52.9,52.5,25.63,51.39,6.57,685.6,cotton,red soil
69.9,39.1,49.1,27.83,56.05,6.41,820.1,cotton,red soil
17.2,33.2,22.3,26.65,58.25,7.05,570.6,greengram,black soil
118.4,53.6,75.9,27.5,79.84,7.39,1241.0,sugarcane,alluvial soil
128.7,10.8,37.6,33.46,22.26,4.64,1952.6,sunflower,alluvial soil
90.3,62.5,83.6,32.89,41.36,6.98,572.1,pomegranate,black soil
95.8,56.8,53.4,23.45,73.33,6.94,826.5,onion,alluvial soil
55.5,39.5,46.1,27.28,46.25,7.65,754.2,sunflower,alluvial soil
110.0,65.5,94.7,26.34,50.57,6.57,742.3,grapes,black soil
20.3,26.0,22.2,20.77,61.41,6.28,430.2,lentil,alluvial soil
29.8,76.5,27.9,38.58,54.02,8.06,1790.4,pomegranate,laterite soil
96.6,62.4,71.0,22.4,76.57,6.77,620.5,tomato,alluvial soil
49.2,37.4,32.0,25.24,65.13,6.09,701.0,soybean,alluvial soil
102.9,73.0,76.9,25.11,33.34,6.77,1240.7,chilli,black soil
16.1,31.9,26.7,22.17,48.56,7.04,562.5,lentil,alluvial soil
35.1,29.8,27.4,29.52,51.6,7.76,576.4,bajra,red soil
57.3,25.9,39.9,16.14,36.43,7.06,595.3,safflower,black soil
37.3,41.5,32.7,26.54,56.39,7.1,661.1,pigeonpeas,red soil
41.4,40.5,27.0,25.82,79.27,6.45,743.4,soybean,alluvial soil
10.6,78.8,48.3,13.29,55.07,5.29,2353.3,bajra,black soil
63.2,49.8,42.9,24.86,55.09,7.32,784.2,sunflower,red soil
66.9,48.1,38.6,29.09,42.38,7.41,587.5,sunflower,alluvial soil
16.1,22.6,29.3,26.16,62.53,7.14,529.7,greengram,alluvial soil
102.4,32.2,28.3,35.6,46.59,5.28,318.0,blackgram,red soil
55.9,34.3,37.8,27.65,57.69,7.59,514.0,jowar,black soil
72.0,78.5,99.8,37.88,60.41,4.56,1882.3,wheat,alluvial soil
19.8,31.6,26.5,33.69,67.59,7.34,639.3,blackgram,black soil
19.8,29.9,20.2,31.66,54.18,6.78,602.3,greengram,alluvial soil
7.3,65.9,23.4,22.04,34.6,4.63,2288.5,bajra,laterite soil
44.8,18.1,19.1,22.96,79.3,6.07,830.0,pigeonpeas,black soil
44.2,27.3,30.7,34.47,40.1,7.71,555.1,bajra,alluvial soil
54.3,43.3,21.0,31.59,83.44,4.59,441.2,chilli,black soil
80.7,59.2,60.9,24.09,63.91,6.49,766.7,maize,red soil
129.9,61.3,99.6,43.66,43.92,4.56,2195.8,ragi,black soil
42.2,39.9,36.8,22.25,66.31,7.16,647.7,soybean,alluvial soil
41.8,36.7,30.5,22.61,46.44,6.58,466.0,safflower,red soil
76.7,41.7,44.6,32.35,56.76,6.71,777.0,cotton,black soil
75.0,31.6,31.5,32.38,27.01,5.88,2278.6,groundnut,alluvial soil
88.5,54.2,52.2,28.47,68.53,6.68,659.3,chilli,black soil
59.3,34.3,41.3,27.52,53.58,5.63,777.2,ragi,laterite soil
45.2,26.8,32.4,20.38,44.76,7.52,596.3,safflower,black soil
96.3,53.1,55.5,25.58,69.17,6.15,864.8,chilli,black soil
61.5,37.3,40.1,25.01,54.05,7.66,686.1,sunflower,red soil
65.3,49.7,45.1,16.55,63.13,6.23,630.5,wheat,black soil
12.5,79.7,19.4,13.59,92.18,8.27,319.6,sugarcane,red soil
51.4,11.5,61.1,34.03,27.42,7.28,1222.7,ragi,laterite soil
99.9,56.6,72.5,21.96,63.68,6.76,881.5,tomato,red soil
96.9,43.6,63.3,29.63,74.83,6.04,679.3,chilli,red soil
22.6,32.5,19.5,29.23,52.81,6.34,762.4,blackgram,black soil
83.6,59.1,60.4,23.2,66.29,6.88,900.2,onion,red soil
52.2,25.2,41.7,24.38,38.04,6.72,549.6,safflower,black soil
48.3,37.7,37.3,23.4,49.17,7.48,479.5,safflower,black soil
97.9,42.6,46.4,22.13,71.97,6.81,612.9,maize,red soil
37.1,41.7,25.9,27.01,76.74,7.09,758.3,soybean,black soil
21.2,23.1,17.0,33.46,58.43,6.57,734.7,blackgram,black soil
55.4,31.6,38.1,22.23,65.63,6.15,660.4,ragi,red soil
97.1,51.3,64.5,27.18,68.8,5.54,941.1,maize,alluvial soil
28.6,40.4,43.6,42.62,26.3,5.53,925.7,soybean,red soil
20.6,31.6,43.5,29.11,57.27,6.84,603.0,groundnut,red soil
51.9,24.8,35.3,30.22,40.35,6.6,416.5,bajra,alluvial soil
24.2,21.9,23.2,31.46,55.65,6.65,608.0,blackgram,red soil
69.7,20.9,55.7,15.6,64.53,7.47,302.8,onion,alluvial soil
5.5,48.4,31.3,14.07,75.64,8.89,1193.3,groundnut,red soil
39.5,43.5,38.1,26.22,50.97,7.48,654.7,pigeonpeas,black soil
119.4,38.0,64.8,28.62,68.34,5.25,2496.8,tomato,black soil
16.6,34.8,20.6,28.78,60.96,6.88,643.9,greengram,black soil
58.3,36.7,38.7,27.77,58.04,5.72,992.4,ragi,red soil
108.9,34.6,11.4,19.97,34.18,7.34,1722.8,onion,black soil
100.7,61.2,62.1,23.64,65.21,6.63,948.3,tomato,red soil
120.7,63.9,88.3,26.28,62.55,7.33,1820.9,sugarcane,alluvial soil
106.3,41.7,52.8,30.01,34.19,7.79,848.9,groundnut,red soil
28.2,25.2,24.1,27.41,50.48,6.41,566.0,blackgram,red soil
96.0,51.1,51.0,26.12,61.09,6.58,950.6,onion,alluvial soil
38.4,32.0,29.6,26.05,55.98,6.65,541.0,bajra,alluvial soil
75.5,53.0,40.8,34.54,65.45,7.46,879.4,cotton,black soil
107.9,58.6,82.5,27.34,53.41,6.74,608.4,grapes,black soil
58.2,35.5,40.9,22.17,48.84,7.23,462.7,safflower,black soil
116.7,7.7,2.7,36.22,55.45,4.93,2396.3,grapes,alluvial soil
47.3,27.3,32.1,27.34,58.21,7.95,497.0,jowar,red soil
28.6,31.2,37.1,26.68,56.83,7.48,763.8,pigeonpeas,black soil
119.2,54.1,65.5,34.4,70.23,7.46,1758.5,sugarcane,black soil
120.4,69.4,85.4,29.31,63.29,6.63,1661.6,sugarcane,black soil
55.7,35.3,39.4,22.02,36.31,6.6,435.3,safflower,red soil
25.4,33.6,23.8,33.69,64.78,7.21,628.7,greengram,black soil
107.9,63.8,72.9,29.07,45.98,6.55,734.2,pomegranate,black soil
71.3,32.7,58.0,19.84,92.31,7.43,1920.7,cotton,red soil
107.1,57.7,65.5,29.43,53.97,6.76,773.3,pomegranate,black soil
35.5,23.7,35.5,28.6,51.4,7.06,590.1,bajra,red soil
123.9,43.9,13.6,32.83,58.57,6.65,706.5,sunflower,black soil
96.0,66.7,72.2,34.46,55.23,7.02,635.3,pomegranate,black soil
98.8,44.0,52.3,22.59,64.76,6.29,601.7,chilli,black soil
60.2,35.8,53.1,21.85,43.02,7.04,501.5,sunflower,black soil
19.0,26.8,21.3,30.21,55.48,6.8,744.4,greengram,black soil
38.8,33.7,32.8,34.98,57.64,7.74,826.8,pigeonpeas,black soil
33.6,49.0,37.1,22.22,65.48,6.69,776.2,soybean,black soil
68.4,44.2,36.8,26.18,45.88,7.42,532.4,sunflower,black soil
29.5,6.4,31.8,11.29,83.55,5.04,455.2,onion,red soil
130.4,4.1,27.8,44.95,67.32,6.54,2041.3,groundnut,black soil
58.0,37.6,50.7,26.97,44.71,7.37,778.0,sunflower,black soil
77.5,48.6,53.5,26.95,61.29,7.48,925.2,chilli,black soil
41.6,57.7,60.2,40.33,21.49,8.02,2396.9,ragi,black soil
109.4,69.1,82.7,29.87,59.83,6.76,739.2,grapes,black soil
54.2,1.0,93.8,12.49,87.91,6.79,2409.9,safflower,laterite soil
83.2,48.0,55.5,30.88,65.33,7.93,632.1,cotton,black soil
43.6,4.2,40.3,42.64,73.41,5.47,1400.8,maize,black soil
49.2,5.4,50.3,29.51,88.01,7.09,2296.1,chickpea,laterite soil
105.2,51.7,68.0,19.08,63.38,6.15,928.1,onion,black soil
87.9,43.4,66.0,19.28,60.01,6.73,955.9,onion,black soil
21.1,28.9,28.7,20.65,49.3,7.77,612.0,chickpea,black soil
110.5,53.0,95.9,28.17,60.74,7.02,811.2,grapes,red soil
78.8,37.2,42.1,22.07,68.68,7.48,485.8,wheat,alluvial soil
38.6,31.2,35.2,27.02,63.25,7.93,893.6,pigeonpeas,black soil
41.1,36.9,43.5,28.32,79.59,6.68,760.2,soybean,alluvial soil
107.7,25.2,80.2,17.14,91.76,7.22,1777.6,groundnut,black soil
38.9,27.4,41.1,25.31,52.19,7.35,779.7,groundnut,red soil
42.4,41.0,37.4,25.68,62.37,7.24,636.8,soybean,black soil
43.9,32.0,27.6,22.56,66.85,6.89,868.5,soybean,alluvial soil
20.9,27.6,21.3,18.09,50.59,7.04,479.4,lentil,alluvial soil
72.4,41.8,50.0,29.74,50.62,6.14,935.5,cotton,red soil
21.7,33.6,26.3,27.95,45.72,6.82,453.3,lentil,black soil
22.3,25.9,24.6,27.42,58.72,6.55,575.3,lentil,black soil
27.0,32.7,36.5,28.69,60.3,6.57,740.9,pigeonpeas,black soil
35.4,33.0,29.2,33.05,45.39,7.18,858.9,pigeonpeas,red soil
62.7,60.5,33.0,19.16,24.29,6.31,1497.6,wheat,black soil
25.8,70.8,35.0,18.17,68.11,6.19,1517.1,chickpea,laterite soil
37.6,30.4,38.8,27.13,66.09,7.41,816.4,soybean,black soil
83.1,45.8,17.1,12.33,93.8,5.15,1692.2,blackgram,laterite soil
22.3,24.2,16.0,30.85,62.91,6.98,541.2,blackgram,red soil
104.6,55.7,80.6,27.74,47.45,6.92,501.4,pomegranate,black soil
67.8,48.6,54.6,28.23,52.23,6.71,839.0,cotton,black soil
19.4,31.8,15.6,26.09,65.19,6.19,540.4,blackgram,black soil
109.8,15.4,56.3,29.52,60.2,6.7,1501.7,jowar,laterite soil
58.4,38.2,52.1,23.32,43.43,7.28,739.9,sunflower,red soil
64.4,45.8,47.7,27.76,50.93,8.0,692.9,cotton,red soil
1.3,53.2,39.4,38.42,42.51,5.18,218.7,tomato,alluvial soil
82.8,50.6,53.9,25.35,64.81,7.08,965.6,maize,red soil
24.9,44.7,40.2,29.46,60.44,6.54,587.4,groundnut,alluvial soil
73.4,49.3,40.3,31.68,52.16,6.26,721.2,cotton,black soil
117.4,58.1,70.1,42.45,82.84,7.3,1189.5,chickpea,alluvial soil
52.3,28.6,29.9,30.39,51.7,7.77,645.1,bajra,red soil
16.2,22.7,23.5,32.27,54.34,7.17,674.8,greengram,black soil
47.2,36.3,33.3,30.18,63.31,8.06,656.2,jowar,red soil
18.0,26.8,28.4,22.82,55.34,7.15,542.4,lentil,black soil
73.2,41.3,42.9,25.23,54.14,6.4,736.0,cotton,black soil
41.8,37.5,29.9,23.38,64.04,6.21,643.3,soybean,black soil
82.9,65.3,73.4,28.52,54.3,6.86,731.5,pomegranate,black soil
112.2,50.7,73.7,20.07,64.69,6.87,858.7,tomato,red soil
100.4,58.7,74.7,20.12,77.12,6.78,825.2,tomato,alluvial soil
32.3,42.3,30.6,32.47,45.66,7.47,844.6,pigeonpeas,red soil
3.4,22.7,59.2,43.58,26.51,6.01,2207.4,safflower,alluvial soil
0.1,75.6,78.6,44.6,69.81,7.42,874.0,sunflower,black soil
104.3,69.9,80.8,28.21,54.3,7.42,622.1,pomegranate,red soil
31.8,41.6,35.8,24.22,65.78,6.3,896.3,soybean,alluvial soil
113.1,53.1,10.9,35.31,82.36,8.56,724.5,pigeonpeas,alluvial soil
75.3,58.2,56.6,24.11,60.46,6.51,616.0,maize,black soil
26.7,30.1,26.0,22.15,58.32,6.7,824.7,pigeonpeas,black soil
48.7,39.6,40.0,25.81,53.21,6.79,633.4,jowar,black soil
36.8,32.7,37.2,27.57,60.81,7.0,743.5,pigeonpeas,red soil
34.4,33.3,39.0,27.42,66.4,6.38,804.7,soybean,alluvial soil
45.7,37.1,37.2,24.18,39.29,7.16,520.3,safflower,red soil
97.8,40.7,64.1,29.07,69.42,7.14,836.7,chilli,red soil
94.5,57.3,51.2,24.03,72.5,6.62,901.9,onion,alluvial soil
134.3,1.6,34.8,19.76,50.25,8.82,2448.4,soybean,black soil
118.1,3.7,89.5,32.95,22.9,8.58,839.9,blackgram,black soil
41.5,56.3,92.3,12.73,70.13,7.02,309.0,tomato,black soil
105.1,46.1,50.8,20.2,62.67,7.19,784.8,onion,black soil
74.9,53.6,55.1,22.81,72.88,6.94,647.6,maize,black soil
17.6,22.3,17.6,30.07,69.21,7.23,526.0,blackgram,red soil
31.4,35.0,24.3,27.42,52.58,6.79,554.3,chickpea,red soil
49.7,28.5,26.0,28.93,58.25,6.4,522.6,bajra,red soil
18.8,24.2,26.4,30.26,53.36,7.08,674.7,greengram,alluvial soil
114.8,26.8,28.3,23.55,47.99,8.1,739.8,ragi,red soil
113.3,45.9,56.2,27.3,76.7,6.05,661.5,tomato,alluvial soil
13.2,65.4,27.1,41.71,36.72,6.36,774.9,tomato,black soil
45.6,30.7,38.8,27.43,77.99,6.98,966.3,soybean,alluvial soil
24.3,28.3,24.3,26.67,46.71,6.9,553.3,lentil,black soil
120.7,57.5,83.1,34.27,71.26,6.55,1683.8,sugarcane,black soil
57.1,47.3,54.1,25.58,46.89,6.93,690.9,sunflower,alluvial soil
26.3,30.0,18.9,28.5,61.94,6.93,708.5,blackgram,black soil
105.8,58.9,87.7,32.0,59.13,6.95,530.5,pomegranate,red soil
31.5,28.7,41.9,31.98,66.89,6.55,625.9,groundnut,red soil
101.3,61.8,87.2,39.97,66.54,7.82,1219.8,jowar,black soil
104.7,51.9,53.4,27.29,64.01,6.27,632.5,onion,red soil
113.3,66.7,79.9,30.02,83.49,6.94,1775.1,sugarcane,black soil
30.3,31.8,43.8,29.9,61.37,6.98,731.6,soybean,black soil
97.6,55.9,70.5,22.89,75.68,6.93,976.3,tomato,alluvial soil
132.7,21.4,15.6,11.1,63.69,6.04,840.4,sunflower,black soil
83.0,35.0,48.0,28.09,67.67,6.57,607.4,cotton,red soil
42.9,30.5,41.7,23.02,78.15,7.33,675.6,soybean,black soil
103.1,14.1,98.9,29.82,83.92,8.68,850.1,safflower,alluvial soil
30.0,41.1,37.4,22.38,56.59,7.48,782.5,pigeonpeas,red soil
135.2,61.6,79.1,30.94,77.01,6.62,1577.4,sugarcane,black soil
44.5,39.0,42.9,25.0,56.42,6.7,734.5,ragi,red soil
117.9,62.1,69.9,21.8,75.76,6.54,887.4,tomato,red soil
44.3,33.6,44.2,28.93,51.41,7.75,482.5,jowar,black soil
50.3,47.5,40.2,35.29,55.53,7.44,1813.7,maize,alluvial soil
73.7,37.8,53.1,31.24,71.35,6.09,772.9,chilli,black soil
37.3,33.5,40.0,22.87,62.41,7.2,631.4,soybean,black soil
30.7,33.2,33.6,23.06,60.98,6.28,868.8,soybean,alluvial soil
36.7,35.4,38.7,22.87,74.55,6.93,758.3,soybean,black soil
28.7,31.9,28.0,22.92,59.63,7.89,645.3,pigeonpeas,black soil
98.2,60.4,66.3,28.28,46.46,6.98,536.9,pomegranate,red soil
49.9,30.4,41.4,31.81,61.07,7.65,668.6,jowar,red soil
109.1,21.8,82.7,18.45,61.2,7.41,1045.9,bajra,alluvial soil
52.8,23.1,30.5,33.7,53.04,7.78,542.4,bajra,red soil
27.7,23.2,29.1,29.26,57.85,7.24,550.2,greengram,alluvial soil
65.9,43.5,53.4,28.47,54.43,6.21,598.4,cotton,black soil
41.7,36.2,37.7,28.18,58.93,6.63,689.7,ragi,red soil
100.1,61.7,94.0,29.84,69.8,7.25,768.5,grapes,black soil
119.5,54.7,86.5,25.76,69.83,6.85,1909.2,sugarcane,alluvial soil
